500.000000
t              x         y          r       theta       energy   ang. momentum 
2.580322   0.665601   -0.495224   0.829622  -0.639666   -0.755004    0.700000
2.587094   0.671346   -0.492376   0.832551  -0.632803   -0.755004    0.700000
2.593867   0.677038   -0.489490   0.835453  -0.625987   -0.755004    0.700000
2.600639   0.682677   -0.486564   0.838327  -0.619218   -0.755004    0.700000
2.607412   0.688263   -0.483601   0.841175  -0.612496   -0.755004    0.700000
2.614184   0.693795   -0.480601   0.843996  -0.605818   -0.755004    0.700000
2.620957   0.699275   -0.477563   0.846789  -0.599185   -0.755003    0.700000
2.627729   0.704701   -0.474490   0.849556  -0.592595   -0.755003    0.700000
2.634502   0.710075   -0.471381   0.852295  -0.586048   -0.755003    0.700000
2.641274   0.715397   -0.468238   0.855008  -0.579542   -0.755003    0.700000
2.648047   0.720666   -0.465060   0.857694  -0.573078   -0.755003    0.700000
2.654819   0.725882   -0.461848   0.860354  -0.566653   -0.755003    0.700000
2.661592   0.731047   -0.458603   0.862987  -0.560268   -0.755003    0.700000
2.668364   0.736159   -0.455325   0.865593  -0.553922   -0.755003    0.700000
2.675137   0.741219   -0.452015   0.868172  -0.547614   -0.755003    0.700000
2.681909   0.746227   -0.448673   0.870725  -0.541342   -0.755003    0.700000
2.688682   0.751183   -0.445300   0.873252  -0.535108   -0.755003    0.700000
2.695454   0.756088   -0.441897   0.875752  -0.528909   -0.755003    0.700000
2.702227   0.760940   -0.438463   0.878226  -0.522745   -0.755002    0.700000
2.708999   0.765742   -0.435000   0.880673  -0.516615   -0.755002    0.700000
2.715772   0.770492   -0.431507   0.883094  -0.510520   -0.755002    0.700000
2.722544   0.775190   -0.427986   0.885490  -0.504457   -0.755002    0.700000
2.729317   0.779838   -0.424436   0.887859  -0.498427   -0.755002    0.700000
2.736089   0.784434   -0.420859   0.890201  -0.492429   -0.755002    0.700000
2.742862   0.788979   -0.417254   0.892518  -0.486462   -0.755002    0.700000
2.749634   0.793474   -0.413622   0.894809  -0.480526   -0.755002    0.700000
2.756407   0.797917   -0.409964   0.897074  -0.474620   -0.755002    0.700000
2.763179   0.802310   -0.406279   0.899313  -0.468744   -0.755002    0.700000
2.769952   0.806653   -0.402570   0.901527  -0.462897   -0.755002    0.700000
2.776724   0.810944   -0.398834   0.903714  -0.457078   -0.755002    0.700000
2.783497   0.815186   -0.395075   0.905876  -0.451287   -0.755002    0.700000
2.790269   0.819377   -0.391290   0.908012  -0.445524   -0.755002    0.700000
2.797042   0.823518   -0.387482   0.910123  -0.439787   -0.755002    0.700000
2.803814   0.827609   -0.383650   0.912208  -0.434077   -0.755002    0.700000
2.810587   0.831649   -0.379795   0.914268  -0.428393   -0.755002    0.700000
2.817359   0.835640   -0.375918   0.916302  -0.422734   -0.755002    0.700000
2.824132   0.839581   -0.372017   0.918310  -0.417100   -0.755001    0.700000
2.830904   0.843473   -0.368095   0.920294  -0.411490   -0.755001    0.700000
2.837677   0.847314   -0.364151   0.922252  -0.405905   -0.755001    0.700000
2.844449   0.851107   -0.360186   0.924184  -0.400343   -0.755001    0.700000
2.851222   0.854849   -0.356200   0.926092  -0.394804   -0.755001    0.700000
2.857994   0.858543   -0.352193   0.927974  -0.389287   -0.755001    0.700000
2.864767   0.862187   -0.348166   0.929831  -0.383793   -0.755001    0.700000
2.871539   0.865782   -0.344120   0.931663  -0.378321   -0.755001    0.700000
2.878312   0.869327   -0.340053   0.933470  -0.372870   -0.755001    0.700000
2.885084   0.872824   -0.335968   0.935252  -0.367440   -0.755001    0.700000
2.891857   0.876272   -0.331864   0.937009  -0.362030   -0.755001    0.700000
2.898629   0.879671   -0.327741   0.938741  -0.356640   -0.755001    0.700000
2.905402   0.883021   -0.323600   0.940448  -0.351270   -0.755001    0.700000
2.912174   0.886323   -0.319441   0.942131  -0.345920   -0.755001    0.700000
2.918947   0.889576   -0.315265   0.943788  -0.340588   -0.755001    0.700000
2.925719   0.892780   -0.311071   0.945421  -0.335275   -0.755001    0.700000
2.932492   0.895936   -0.306861   0.947029  -0.329980   -0.755001    0.700000
2.939264   0.899043   -0.302634   0.948613  -0.324703   -0.755001    0.700000
2.946037   0.902103   -0.298390   0.950172  -0.319444   -0.755001    0.700000
2.952809   0.905114   -0.294131   0.951706  -0.314201   -0.755001    0.700000
2.959582   0.908076   -0.289856   0.953215  -0.308976   -0.755001    0.700000
2.966354   0.910991   -0.285566   0.954700  -0.303766   -0.755001    0.700000
2.973127   0.913858   -0.281261   0.956161  -0.298573   -0.755001    0.700000
2.979899   0.916677   -0.276941   0.957597  -0.293395   -0.755001    0.700000
2.986672   0.919447   -0.272606   0.959009  -0.288233   -0.755001    0.700000
2.993444   0.922171   -0.268258   0.960396  -0.283086   -0.755001    0.700000
3.000217   0.924846   -0.263895   0.961759  -0.277953   -0.755001    0.700000
3.006989   0.927474   -0.259519   0.963098  -0.272835   -0.755001    0.700000
3.013762   0.930054   -0.255130   0.964412  -0.267731   -0.755001    0.700000
3.020534   0.932586   -0.250727   0.965702  -0.262641   -0.755001    0.700000
3.027307   0.935071   -0.246312   0.966968  -0.257564   -0.755001    0.700000
3.034079   0.937509   -0.241884   0.968210  -0.252501   -0.755001    0.700000
3.040852   0.939899   -0.237444   0.969427  -0.247450   -0.755000    0.700000
3.047624   0.942242   -0.232992   0.970621  -0.242412   -0.755000    0.700000
3.054397   0.944537   -0.228528   0.971790  -0.237386   -0.755000    0.700000
3.061169   0.946785   -0.224053   0.972935  -0.232372   -0.755000    0.700000
3.067942   0.948987   -0.219567   0.974056  -0.227369   -0.755000    0.700000
3.074714   0.951141   -0.215070   0.975153  -0.222378   -0.755000    0.700000
3.081487   0.953248   -0.210562   0.976226  -0.217398   -0.755000    0.700000
3.088259   0.955308   -0.206044   0.977276  -0.212429   -0.755000    0.700000
3.095032   0.957321   -0.201516   0.978301  -0.207471   -0.755000    0.700000
3.101804   0.959287   -0.196978   0.979302  -0.202522   -0.755000    0.700000
3.108577   0.961207   -0.192430   0.980279  -0.197584   -0.755000    0.700000
3.115349   0.963079   -0.187873   0.981233  -0.192656   -0.755000    0.700000
3.122122   0.964905   -0.183306   0.982163  -0.187736   -0.755000    0.700000
3.128894   0.966684   -0.178731   0.983068  -0.182827   -0.755000    0.700000
3.135667   0.968417   -0.174148   0.983950  -0.177925   -0.755000    0.700000
3.142439   0.970103   -0.169555   0.984809  -0.173033   -0.755000    0.700000
3.149212   0.971742   -0.164955   0.985643  -0.168149   -0.755000    0.700000
3.155984   0.973334   -0.160347   0.986454  -0.163273   -0.755000    0.700000
3.162757   0.974881   -0.155731   0.987241  -0.158405   -0.755000    0.700000
3.169529   0.976380   -0.151108   0.988004  -0.153545   -0.755000    0.700000
3.176302   0.977834   -0.146477   0.988744  -0.148692   -0.755000    0.700000
3.183074   0.979241   -0.141840   0.989460  -0.143847   -0.755000    0.700000
3.189847   0.980601   -0.137196   0.990152  -0.139008   -0.755000    0.700000
3.196619   0.981915   -0.132545   0.990821  -0.134175   -0.755000    0.700000
3.203392   0.983183   -0.127888   0.991466  -0.129350   -0.755000    0.700000
3.210164   0.984405   -0.123226   0.992087  -0.124530   -0.755000    0.700000
3.216937   0.985580   -0.118557   0.992685  -0.119716   -0.755000    0.700000
3.223709   0.986709   -0.113883   0.993260  -0.114908   -0.755000    0.700000
3.230482   0.987792   -0.109203   0.993810  -0.110106   -0.755000    0.700000
3.237254   0.988829   -0.104518   0.994337  -0.105308   -0.755000    0.700000
3.244027   0.989820   -0.099829   0.994841  -0.100516   -0.755000    0.700000
3.250799   0.990764   -0.095135   0.995321  -0.095728   -0.755000    0.700000
3.257572   0.991663   -0.090436   0.995778  -0.090945   -0.755000    0.700000
3.264344   0.992515   -0.085733   0.996211  -0.086166   -0.755000    0.700000
3.271117   0.993322   -0.081026   0.996621  -0.081391   -0.755000    0.700000
3.277889   0.994082   -0.076316   0.997007  -0.076620   -0.755000    0.700000
3.284662   0.994796   -0.071602   0.997370  -0.071852   -0.755000    0.700000
3.291434   0.995465   -0.066884   0.997709  -0.067088   -0.755000    0.700000
3.298207   0.996087   -0.062164   0.998025  -0.062327   -0.755000    0.700000
3.304979   0.996664   -0.057441   0.998317  -0.057569   -0.755000    0.700000
3.311752   0.997194   -0.052715   0.998586  -0.052814   -0.755000    0.700000
3.318524   0.997679   -0.047986   0.998832  -0.048061   -0.755000    0.700000
3.325297   0.998117   -0.043256   0.999054  -0.043310   -0.755000    0.700000
3.332069   0.998510   -0.038523   0.999253  -0.038561   -0.755000    0.700000
3.338842   0.998857   -0.033789   0.999428  -0.033814   -0.755000    0.700000
3.345614   0.999158   -0.029053   0.999580  -0.029069   -0.755000    0.700000
3.352387   0.999413   -0.024315   0.999708  -0.024325   -0.755000    0.700000
3.359159   0.999622   -0.019577   0.999814  -0.019582   -0.755000    0.700000
3.365932   0.999785   -0.014838   0.999895  -0.014840   -0.755000    0.700000
3.372704   0.999903   -0.010098   0.999954  -0.010098   -0.755000    0.700000
3.379477   0.999974   -0.005357   0.999988  -0.005357   -0.755000    0.700000
3.386249   1.000000   -0.000617   1.000000  -0.000617   -0.755000    0.700000
