Temperature   <m^2>     error bar
2.130000    0.767824   0.011911
2.140000    0.760604   0.001958
2.150000    0.737705   0.011127
2.160000    0.749441   0.012098
2.170000    0.744270   0.002016
2.180000    0.719703   0.011071
2.190000    0.714264   0.011638
2.200000    0.700770   0.011411
2.210000    0.706277   0.011851
2.220000    0.694297   0.010226
2.230000    0.682213   0.009905
2.240000    0.679334   0.010677
2.250000    0.658440   0.010841
2.260000    0.660141   0.008002
2.270000    0.642684   0.007492
2.280000    0.632758   0.008811
2.290000    0.618993   0.011071
2.300000    0.616953   0.010618
2.310000    0.625578   0.007837
2.320000    0.591758   0.010620
2.330000    0.607627   0.009372
2.340000    0.581727   0.010478
2.350000    0.589879   0.010766
2.360000    0.561705   0.010119
2.370000    0.548877   0.009846
2.380000    0.545044   0.010614
2.390000    0.552803   0.009816
2.400000    0.524205   0.008943
2.410000    0.511124   0.009891
2.420000    0.507954   0.009389
2.430000    0.515364   0.009990
2.440000    0.482207   0.009535
2.450000    0.468331   0.009157
2.460000    0.480595   0.009490
2.470000    0.472737   0.009792
2.480000    0.448700   0.009213
2.490000    0.440407   0.009135
2.500000    0.447927   0.009302
2.510000    0.434216   0.009332
2.520000    0.420341   0.008705
2.530000    0.413459   0.008228
2.540000    0.397295   0.009321
2.550000    0.383507   0.008731
2.560000    0.396853   0.008394
2.570000    0.368119   0.007990
2.580000    0.374515   0.008691
2.590000    0.353825   0.008198
2.600000    0.354688   0.007901
2.610000    0.349761   0.008065
2.620000    0.346170   0.008389
2.630000    0.338510   0.007637
2.640000    0.334076   0.008045
2.650000    0.318453   0.007417
2.660000    0.311120   0.007845
2.670000    0.303736   0.007723
2.680000    0.294137   0.007347
2.690000    0.286734   0.007808
2.700000    0.304566   0.007700
2.710000    0.293066   0.007538
2.720000    0.278007   0.007449
2.730000    0.280155   0.006926
2.740000    0.272822   0.007400
2.750000    0.257900   0.006552
2.760000    0.254396   0.007105
2.770000    0.244900   0.006644
2.780000    0.246244   0.007097
2.790000    0.246405   0.007058
2.800000    0.229492   0.006447
2.810000    0.234024   0.006685
2.820000    0.237877   0.006828
2.830000    0.224829   0.006861
2.840000    0.216817   0.006361
2.850000    0.214439   0.006609
2.860000    0.211449   0.006365
2.870000    0.202402   0.006224
2.880000    0.209275   0.006655
2.890000    0.204251   0.006275
2.900000    0.201430   0.006415
2.910000    0.204106   0.006127
2.920000    0.192476   0.006137
2.930000    0.185980   0.006174
2.940000    0.191590   0.005905
2.950000    0.182074   0.005833
2.960000    0.175338   0.006036
2.970000    0.178554   0.005970
2.980000    0.170661   0.005915
2.990000    0.182018   0.005723
3.000000    0.169732   0.005602
3.010000    0.165528   0.005580
3.020000    0.165604   0.005747
3.030000    0.161896   0.005444
3.040000    0.156007   0.005475
3.050000    0.158035   0.005872
3.060000    0.146113   0.005263
3.070000    0.150805   0.005748
3.080000    0.154150   0.005268
3.090000    0.146489   0.005244
3.100000    0.152160   0.005580
3.110000    0.140914   0.005168
3.120000    0.149688   0.005585
3.130000    0.149492   0.005296
3.140000    0.137127   0.005035
3.150000    0.136216   0.004971
3.160000    0.133131   0.005102
3.170000    0.134177   0.004983
3.180000    0.128966   0.004939
3.190000    0.131343   0.005089
3.200000    0.132850   0.005034
3.210000    0.126991   0.005060
3.220000    0.131910   0.005233
3.230000    0.118170   0.004774
3.240000    0.127846   0.004963
3.250000    0.124305   0.005052
3.260000    0.126668   0.005004
3.270000    0.117838   0.004879
3.280000    0.118962   0.004769
3.290000    0.113923   0.004556
3.300000    0.115787   0.004792
3.310000    0.116553   0.004778
3.320000    0.110957   0.004631
3.330000    0.113896   0.004744
3.340000    0.109886   0.004678
3.350000    0.114552   0.004826
3.360000    0.108966   0.004568
3.370000    0.108290   0.004614
3.380000    0.105320   0.004598
3.390000    0.107119   0.004758
3.400000    0.103086   0.004578
3.410000    0.106724   0.004687
3.420000    0.102371   0.004390
3.430000    0.103312   0.004428
3.440000    0.099071   0.004550
3.450000    0.099733   0.004331
3.460000    0.098349   0.004332
3.470000    0.097642   0.004146
3.480000    0.092823   0.004156
3.490000    0.097815   0.004393
3.500000    0.094821   0.004314
3.510000    0.097703   0.004190
3.520000    0.093205   0.004358
3.530000    0.095062   0.004323
3.540000    0.091917   0.004051
3.550000    0.089718   0.004091
3.560000    0.090665   0.004027
3.570000    0.089522   0.004044
3.580000    0.087827   0.004195
3.590000    0.089577   0.004119
3.600000    0.083790   0.004103
3.610000    0.086267   0.004150
3.620000    0.088141   0.004248
3.630000    0.083785   0.003914
3.640000    0.084299   0.003984
3.650000    0.079757   0.003905
3.660000    0.084143   0.004003
3.670000    0.083691   0.004004
3.680000    0.079900   0.003835
3.690000    0.080668   0.004025
3.700000    0.080935   0.004172
3.710000    0.080152   0.003949
3.720000    0.081707   0.004091
3.730000    0.077051   0.003907
3.740000    0.077270   0.003832
3.750000    0.078856   0.003954
3.760000    0.078750   0.004020
3.770000    0.077505   0.003775
3.780000    0.072851   0.003876
3.790000    0.077247   0.003799
3.800000    0.072177   0.003681
3.810000    0.075779   0.003793
3.820000    0.077064   0.003841
3.830000    0.074580   0.003920
3.840000    0.075430   0.003960
3.850000    0.071397   0.003801
3.860000    0.072253   0.003890
3.870000    0.074093   0.003766
3.880000    0.070052   0.003754
3.890000    0.072951   0.003775
3.900000    0.071068   0.003784
3.910000    0.068553   0.003538
3.920000    0.070433   0.003696
3.930000    0.068211   0.003633
3.940000    0.065332   0.003493
3.950000    0.069594   0.003542
3.960000    0.066832   0.003799
3.970000    0.069442   0.003740
3.980000    0.067637   0.003628
3.990000    0.066506   0.003692
4.000000    0.064882   0.003455
